id,text,answer
43,"Úgy határozom meg a feladatokat, hogy azok érdekesek és kihívásokban gazdagok legyen a kollégák számára.",5
44,"Biztos vagyok benne, hogy időben visszajelzést adok az elvégzett feladattal kapcsolatban az érintetteknek.",6
45,"Mindig segítek annak a személynek, aki kihívásokkal teli, speciális és rövid határidejű feladatot kell, hogy megoldjon.",5
46,Csak a legvégső esetben bocsájtok el gyenge munkateljesítményű kollégát.,1
47,"Állandóan figyelmeztetem a kollégákat, ha a munkateljesítményük az elvárásoknak vagy a képességeiknek nem megfelelő.",2
48,Biztosítom az embereknek a tisztességes és méltányos bánásmódot.,5
49,Jó munkateljesítményért dicséretet és különböző elismeréseket adok át.,5
50,Kerülöm a személyes vádakat másokkal szemben.,3
51,"Bátorítom a kétirányú interakciót azáltal, hogy meghívom mindkét oldal képviselőit, hogy legyen lehetőségük a másik szemszögből is megismerni a problémát, illetve hogy kérdéseket tehessenek fel egymásnak.",4
52,"Azt kérem a munkatársaktól, hogy fejtsék ki az elfogadhatóbb lehetőség részleteit.",6
53,"Odafigyelek rá, aggodalmat és érdeklődést mutatok, még akkor is, ha nem értek vele egyet.",4
54,"További információkat gyűjtök, illetve olyan kérdéseket teszek fel, amelyekre adott válaszok konkrét és a helyzetet leíró információkat nyújtanak.",5
55,"Megkérem a másik személyt, hogy javasoljon elfogadhatóbb viselkedést.",5
56,"Nem foglalok állást, semleges maradok.",3
57,"Segítek a feleknek abban, hogy több alternatívát is megismerjenek.",5
58,"Segítek a feleknek abban, hogy megtaláljanak olyan területeket, amelyekben egyet értenek.",5
59,"Segítek az embereknek abban, hogy munkájukban kompetensnek érezzék magukat azáltal, hogy észlelem és velük együtt ünnepelem a saját kis sikereiket.",5
60,Rendszeresen adok visszajelzést és megadom a szükséges támogatást.,5
61,"Megpróbálok minden olyan információt biztosítani, amely az embereknek feladataik elvégzéséhez szükséges.",6
62,Kiemelem az ember munkájának fontos hatását.,5
63,"Világosan megfogalmazom, hogy melyek azok az eredmények, amelyeket elvárok.",6
64,"Egyértelműen meghatározom, hogy mit várok el másoktól, hogy mikor mit tegyenek (például várják meg az instrukciókat, hogy melyik irányba kell tovább haladni; végezzék el a rájuk ruházott feladatot, majd jelentsék, ha elkészültek vele; végezzék el a teljes feladatot és csak utána jelezzenek. stb.)",6
65,"Engedem, hogy azok a személyek, akik elfogadják a megbízást, ők döntsék el, hogy mikor és hogyan végzik el a munkát.",3
66,"Ha egy probléma felmerül, inkább tanácsot kérek és kérdezek főnökeimtől, minthogy tőlük várom a megoldást.",5
67,"A delegált, azaz mások számára kiosztott feladatokat folyamatosan, rendszeresen utókövetem.",4
68,"Tisztában vagyok azzal, hogy hogyan tudok hiteles lenni és ugyanakkor hogyan tudom a csapattagokat befolyásolni.",4
69,"Világos és következetes vagyok abban, amit el akarok érni.",6
70,"Közös alapot alakítok ki a csapatomban a tagok egyetértésével, mielőtt tovább folytatják a feladat megoldását.",5
71,"Pontosan ismertetem a csapattal, hogy rövidtávon milyen célokat és sikereket tudnak elérni.",5
72,"Különféle módszereket ismerek arra vonatkozóan, hogy hogyan lehet csapatban a feladatokat könnyen megoldani.",3
73,"Számos módszert ismerek arra vonatkozóan, hogy hogyan lehet szoros kapcsolatokat létrehozni és együttműködésre serkenteni a csapattagokat.",3
74,A csapatfejlesztés különböző szakaszait jól ismerem.,3
75,"Segítem a csapatot a „birkaszellem” elkerülésében, azáltal, hogy biztosítom, hogy a sokféle vélemény kifejezésre juthasson a csapatban.",4
76,Képes vagyok kielemezni és előnyt kovácsolni a csapatom fő kompetenciáiból vagy egyedi erősségeiből.,5
77,"A csapatot arra ösztönzöm, hogy egyrészt drámai áttöréseket hozzon létre az innováció terén, másrészt pedig folyamatosan fejlesszenek, akár kis fejlesztéseket is.",5
78,"Pozitív energiát sugározok másoknak, akikkel kapcsolatba lépek.",6
79,"Hangsúlyozzam, hogy a kívánt változás milyen magasabb célok eléréséhez vezet.",6
80,"Gyakran és szembetűnő módon köszönetet mondok, még a kisebb cselekedetekért is.",4
81,"Hangsúlyozom, hogy az erősségekre építünk, és nemcsak a gyengeségeket küzdjük le.",5
82,"Kommunikációm során sokkal több pozitív megjegyzést használok, mint negatívat.",4
83,"Amikor az elérendő célról beszélek, nemcsak az emberek józan eszére, hanem a szívére is hatással vagyok.",4
84,"Tudom, hogyan lehet rávenni az embereket arra, hogy támogassák és részesei legyenek a pozitív változásnak, amit el akarok érni.",5
